epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,2392.51,0.53209,0.62259,0.42927,0.85209,0,0.90892,0.9589,0.96039,0.79092,0.90243,0.95205,0.94819,0.75164,0.65389,0.71703,0.474,0.88425,0,0.000620555,0.000620555,0.000620555
87,2416.1,0.53607,0.72433,0.42841,0.86193,0,0.8877,0.97453,0.95668,0.79022,0.88146,0.96768,0.94436,0.74501,0.65116,0.7269,0.47564,0.87984,0,0.000612981,0.000612981,0.000612981
88,2439.5,0.52399,0.73694,0.41708,0.85414,0,0.91011,0.97089,0.95858,0.80689,0.91202,0.9589,0.95031,0.72944,0.61555,0.81256,0.46622,0.87496,0,0.00060538,0.00060538,0.00060538
89,2462.81,0.53309,0.65536,0.41007,0.85094,0,0.91466,0.9726,0.96014,0.80909,0.90178,0.9589,0.93622,0.71107,0.61722,0.86102,0.46504,0.87359,0,0.000597754,0.000597754,0.000597754
90,2486.87,0.54194,0.69917,0.4585,0.86174,0,0.90676,0.97945,0.96436,0.80882,0.88876,0.9589,0.93113,0.71171,0.62074,0.89066,0.46967,0.87457,0,0.000590105,0.000590105,0.000590105
91,2510.75,0.56143,0.73336,0.45615,0.87402,0,0.9267,0.95253,0.9672,0.81008,0.91337,0.93883,0.9443,0.72237,0.62986,0.87273,0.47971,0.87682,0,0.000582435,0.000582435,0.000582435
92,2534.94,0.56662,0.8083,0.44977,0.86093,0,0.89395,0.98157,0.96148,0.80459,0.91223,0.94521,0.94243,0.71672,0.61534,0.83172,0.48984,0.87887,0,0.000574746,0.000574746,0.000574746
93,2558.37,0.53041,0.67659,0.446,0.86286,0,0.91864,0.9589,0.95752,0.79551,0.9205,0.95172,0.94909,0.71087,0.61748,0.8292,0.4886,0.88011,0,0.00056704,0.00056704,0.00056704
94,2582.08,0.53929,0.74064,0.44373,0.86395,0,0.91855,0.95205,0.95884,0.79756,0.91194,0.94521,0.95125,0.71628,0.6217,0.80487,0.48431,0.88115,0,0.000559318,0.000559318,0.000559318
95,2606.35,0.54439,0.73481,0.43343,0.85787,0,0.90547,0.9726,0.95791,0.79658,0.89272,0.9589,0.93826,0.7227,0.63136,0.78776,0.48678,0.88083,0,0.000551584,0.000551584,0.000551584
96,2630,0.52711,0.64601,0.40632,0.86271,0,0.91427,0.9726,0.95958,0.7948,0.90783,0.96575,0.95125,0.73121,0.63671,0.79386,0.47619,0.87822,0,0.000543837,0.000543837,0.000543837
97,2653.39,0.51784,0.70222,0.41322,0.85372,0,0.92084,0.9726,0.96082,0.79547,0.91471,0.95491,0.95262,0.73059,0.62772,0.78679,0.45863,0.88504,0,0.000536081,0.000536081,0.000536081
98,2676.84,0.5601,0.7099,0.42454,0.8745,0,0.92186,0.96972,0.96225,0.7946,0.91709,0.9589,0.95384,0.72932,0.62234,0.76905,0.45085,0.88919,0,0.000528318,0.000528318,0.000528318
